q_id,question,question_type,difficulty,ref_answer,ref_evidence,ref_file,ref_page
Q0012,IPAの調査分析によれば、2024年における日本の中堅企業の平均的なDX予算額は、前年度と比較して具体的に何円増加しましたか。,unanswerable,N/A,,,DX動向2024-中堅企業のDXの取組についての考察.pdf,
Q0013,本報告書で提案されている、中堅企業が「新技術を活用したビジネスにリスクをとってチャレンジする」ために、事前に到達しておくべき組織の状態は何ですか。,answerable,reasoning,企業として一定のデジタルへの対応力（デジタル力）が付いてきた状況であることが、リスクをとってチャレンジするための前提条件として挙げられています。,企業として一定のデジタルへの対応力が付いてきた状況で、一体となって新技術を活用したビジネスにリスクをとってチャレンジしていくことが最重要と考えられる。,DX動向2024-中堅企業のDXの取組についての考察.pdf,"1,12"
Q0014,「DX動向2024調査」において、顧客起点の価値創出によるビジネスモデルの根本的変革などの本格的なDXで成果が出ている日本企業の割合は何割程度ですか。,answerable,simple,約2割にとどまっています。,本格的なデジタルトランスフォーメーションの成果が出ている企業の割合は約 2 割にとどまる。,DX動向2024-日本企業が直面するDXの2つの崖壁と課題.pdf,1
Q0015,"IPAの「DX動向2024調査」における、従業員数1,001人以上の企業と100人以下の企業でのDX取組割合の差は何パーセントポイントですか。",answerable,reasoning,51.9パーセントポイントです（96.6% - 44.7%）。,"従業員規模が大きい企業（1,001 人以上）では 96.6％が DX の取組を行い、…従業員数 100 人以下の規模の小さい企業の取組割合は 44.7%にとどまり",DX動向2024-日本企業が直面するDXの2つの崖壁と課題.pdf,4
Q0016,DX動向2024の分析において、DXの段階に応じた「2つの崖壁」のうち、第2の崖壁は何に関連するものとして定義されていますか。,answerable,simple,ビジネスモデルの根本的変革等に関連する壁として定義されています。,2割の企業しか超えられていない第2の崖壁（ビジネスモデルの根本的変革等）が存在することを示した,DX動向2024-日本企業が直面するDXの2つの崖壁と課題.pdf,16
Q0017,「DX動向2024調査」の結果に基づき、日本企業と2022年度の米国企業を比較した際、「IT分野に見識のある役員割合（3割以上）」にはどのような差がありますか。,answerable,multi_chunk,米国企業では65.4%であるのに対し、日本企業全体では16.9%と低く、大きな差があります。また、日本で成果を上げているBX企業に限定しても39.4%にとどまり、米国企業の水準を下回っています。,米国企業では 65.4%であるのに対し、日本企業では 16.9%と低く、…BX 企業においても…39.4%にとどまり、その割合は米国企業に比べ低い。,DX動向2024-日本企業が直面するDXの2つの崖壁と課題.pdf,11
Q0018,DX動向2024の別表によると、BX成果あり企業において「最先端の仕事ができる」という企業文化・風土の項目の回答割合は何%ですか。,answerable,simple,37.3%です。,最先端の仕事ができる BX 成果あり 37.3,DX動向2024-日本企業が直面するDXの2つの崖壁と課題.pdf,19
Q0019,「DX動向2024調査」の分析で用いられている「取組指数」の算出式において、分母となる値は何ですか。,answerable,reasoning,BX、PXの成果有無を問わない取組割合（平均値）です。,取組指数（BX、PX）= (BXまたはPX成果あり企業の取組割合 - 成果なし企業の取組割合) / BX、PXの成果有無を問わない取組割合,DX動向2024-日本企業が直面するDXの2つの崖壁と課題.pdf,10
Q0020,DX動向2024において、コア事業のITシステム開発を「内製による自社開発」で行っているBX成果あり企業の割合と、PX成果あり企業の割合をそれぞれ答えてください。,answerable,multi_chunk,BX成果あり企業は50.0%、PX成果あり企業は41.6%です。,コア事業/内製による自社開発 BX 成果あり 50.0 PX 成果あり 41.6,DX動向2024-日本企業が直面するDXの2つの崖壁と課題.pdf,19
Q0021,DX動向2024のレポート内で、2025年以降の経済損失が最大12兆円にのぼると予測されている「2025年の崖」を回避するための具体的な予算編成ガイドラインは提示されていますか。,unanswerable,N/A,,,DX動向2024-日本企業が直面するDXの2つの崖壁と課題.pdf,
Q0022,「DX動向2024調査」を実施した際に、回答企業に対して支払われた謝礼金の具体的な金額はいくらですか。,unanswerable,N/A,,,DX動向2024-日本企業が直面するDXの2つの崖壁と課題.pdf,
Q0023,DX動向2024の図表3-1において、デジタライゼーションに分類される取組内容にはどのようなものがありますか。,answerable,simple,「業務の効率化による生産性の向上」と「既存製品・サービスの高付加価値化」の2つが挙げられています。,デジタライゼーション 2.業務の効率化による生産性の向上 3.既存製品・サービスの高付加価値化,DX動向2024-日本企業が直面するDXの2つの崖壁と課題.pdf,5
Q0024,「DX動向2024調査」において、DXを推進する人材が「大幅に不足している」と回答した日本企業の割合は何%ですか。,answerable,simple,62.1%です。,「大幅に不足している」と回答する企業の割合 62.1%と調査開始以降初めて過半数を越え、DXを推進する人材の不足は深刻化している,DX動向2024-深刻化するDXを推進する人材不足と課題.pdf,3
Q0025,IPAが定義する「DX推進スキル標準（DSS-P）」の5つの人材類型のうち、データ利活用の需要を背景に2番目に不足感が強いとされているのはどの類型ですか。,answerable,reasoning,データサイエンティストです。,最も割合が高い人材類型は「ビジネスアーキテト」であり、次いで「データサイエンティスト」の順となっている。…「データサイエンティスト」は、データ利活用需要がその背景となっている。,DX動向2024-深刻化するDXを推進する人材不足と課題.pdf,4
Q0026,「DX動向2024調査」の結果に基づき、DXの成果が出ている企業と出ていない企業の間で、人材の「大幅な不足」を感じている割合にはどのような差がありますか。,answerable,multi_chunk,成果が出ている企業は、成果を上げていない企業に比較して「大幅に不足している」と回答した割合が18.9%少ないという結果が出ています。,「成果が出ている」企業では、成果を上げていない企業に比較して、「大幅に不足している」と回答した企業の割合が、2割弱（18.9%）少ないことが分かり,DX動向2024-深刻化するDXを推進する人材不足と課題.pdf,7
Q0027,日本企業における「システム開発の内製化」という取組において、人材関連で課題を感じている企業の割合は具体的に何%とされていますか。,answerable,simple,87.4%です。,システム開発の内製化 人材の確保や育成が難しい 87.4 1,DX動向2024-深刻化するDXを推進する人材不足と課題.pdf,7
Q0028,「DX動向2024調査」において、DXを推進する人材の獲得・確保の方法として、日本企業と米国企業で最も顕著な違いは何ですか。,answerable,reasoning,日本企業は「社内人材の育成」の割合が最も高いのに対し、米国企業は「特定技術を有する企業、個人との契約」や「リファラル採用」の割合が高いという、内部育成重視の日本と外部活用重視の米国という特徴の違いがあります。,米国企業が「特定技術を有する企業、個人との契約」「リファラル採用…」の割合が高い点、「社内人材の育成」「既存人材…の活用」が低く、外部の活用・採用を行う米国企業、内部人材育成・活用を行う日本企業という特徴が見られる。,DX動向2024-深刻化するDXを推進する人材不足と課題.pdf,9
Q0029,「DX動向2024調査」の分析によると、DXを推進する人材の評価基準を「持っている企業」と「持っていない企業」では、人材不足の状況にどのような相関がありますか。,answerable,multi_chunk,評価基準がある企業は、ない企業に比べて「大幅に不足している」と回答する割合が25%低くなっており、基準を持つことが人材不足の緩和に寄与する可能性が示されています。,「基準がある」企業では、「大幅に不足している」と回答する企業の割合が、「基準はない」企業に比べ 25%低い（図表 4-10）。,DX動向2024-深刻化するDXを推進する人材不足と課題.pdf,16
Q0030,2020年の国勢調査に基づくと、日本のIT専門人材（約125万人）のうち、ユーザー企業に所属している割合は何%ですか。,answerable,simple,26%です（IT関連企業が74%、ユーザー企業が26%の比率）。,日本の IT 関連企業 17とユーザー企業に所属する人材数の割合は、74:26 であり、IT 関連企業に所属する人材の割合が高い。,DX動向2024-深刻化するDXを推進する人材不足と課題.pdf,22
Q0031,「DX動向2024調査」において、デジタルリテラシー向上の取組を「全社的に取り組んでいる」と回答した日本企業の割合は2023年度時点で何%ですか。,answerable,simple,39%です。,39%の企業が「全社的に取組んでいる」（図表 4-12）。,DX動向2024-深刻化するDXを推進する人材不足と課題.pdf,18
Q0032,「DX動向2024調査」を実施した際に、アンケートの回答を寄せた日本企業の総数は何社ですか。,unanswerable,N/A,,,DX動向2024-深刻化するDXを推進する人材不足と課題.pdf,
Q0033,IPAの「DX動向2024」において、2030年までに日本のIT専門人材不足が何万人まで拡大すると予測されていますか。,unanswerable,N/A,,,DX動向2024-深刻化するDXを推進する人材不足と課題.pdf,
Q0034,「DX動向2025調査」において、日本企業のDX取組割合は何パーセントと報告されていますか？,answerable,simple,日本企業のDX取組割合は、回答企業の77.8%（約8割）です。,「DXに取組んでいる」とする3種の回答率の合計は、回答企業の77.8%であり、米国企業の取組割合（76.8%）と同水準、ドイツ企業の68.1%を上回る。,DX動向2025-成長のためのDXに求められる取組.pdf,3
Q0035,IPAの「DX動向2025」によると、日本企業が経営面の成果として「コスト削減」を挙げた割合は、米国やドイツと比較してどのような特徴がありますか？,answerable,reasoning,日本企業は71.1%がコスト削減の成果を挙げており、米国企業やドイツ企業と比較して高い割合となっています。,日本企業では、DXの経営面での成果として「コスト削減」と回答する割合が71.1%であり米独企業と比べ高い。,DX動向2025-成長のためのDXに求められる取組.pdf,5
Q0036,「DX動向2025調査」における日本企業の業種別の取組状況で、「全社戦略に基づき、全社的にDXに取組んでいる」割合が最も高い業種は何ですか？,answerable,simple,「金融業、保険業」が49.6%で最も高い割合となっています。,「全社戦略に基づき、全社的にDXに取組んでいる」割合が高い日本企業の業種は、「金融業、保険業」「情報通信業」「製造業等」の順となっている,DX動向2025-成長のためのDXに求められる取組.pdf,4
Q0037,「DX動向2025」の分析において、成長のDXと効率化のDXの両方で成果を上げている日本企業と、効率化のみで成果を上げている日本企業の間で、取組割合に大きな差異（50%以上の差）がある項目を1つ挙げてください。,answerable,multi_chunk,「外部組織との連携」や「経営者・IT部門・業務部門の協調」、「業務プロセス全社最適化の取組」などが挙げられます。,差異が大きい項目として「外部組織連携」「経営者・IT部門・業務部門の協調」「業務プロセス全社最適化の取組」...が挙げられる。,DX動向2025-成長のためのDXに求められる取組.pdf,11
Q0038,「DX動向2025」の図表4-1で定義されている「デジタライゼーション」に該当する具体的な取組内容には何が含まれますか？,answerable,simple,「業務の効率化による生産性の向上（業務効率化）」および「既存製品・サービスの高付加価値化（既存製品の高付加価値化）」が含まれます。,デジタライゼーション 2.業務の効率化による生産性の向上（業務効率化） 3.既存製品・サービスの高付加価値化（既存製品の高付加価値化）,DX動向2025-成長のためのDXに求められる取組.pdf,6
Q0039,IPAの報告書によると、日本企業における「成長のDX」と「効率化のDX」の両方で成果を上げている企業の割合は、調査対象の何パーセントですか？,answerable,reasoning,"日本企業（1,011社対象）のうち、両方で成果を上げた企業の割合は26.8%です。",日本企業は、効率化のDX、成長のDXの両方で成果を上げた企業の割合は、両方に取組む企業の26.8%,DX動向2025-成長のためのDXに求められる取組.pdf,8
Q0040,「DX動向2025」の付録に記載された回帰分析（別表2）において、成長・効率化両方のDX成果創出に最も寄与度（係数β）が高い説明変数は何ですか？,answerable,simple,「成果指標の設定」であり、係数βは0.537です。,説明変数となる各項目の回帰係数βの値が大きい上位は「成果指標の設定」「外部組織連携」...である。成果指標の設定 0.537,DX動向2025-成長のためのDXに求められる取組.pdf,20
Q0041,「DX動向2025」の調査結果に基づき、日本企業が米国企業よりも高い割合で実施している人材確保・育成に関する取組は何ですか？,answerable,multi_chunk,「社内の人材育成」や「既存人材の活用」です。,日本企業の割合が米国企業に比べ高い項目には、「社内の人材育成」、「既存人材の活用」の割合が高い他,DX動向2025-成長のためのDXに求められる取組.pdf,9
Q0042,「DX動向2025調査」において、中国企業のDX推進状況と日本企業の差異についてどのように述べられていますか？,unanswerable,N/A,,,DX動向2025-成長のためのDXに求められる取組.pdf,
Q0043,IPAが「DX動向2025」で提言している、2030年までの具体的な日本のIT投資額の目標値はいくらですか？,unanswerable,N/A,,,DX動向2025-成長のためのDXに求められる取組.pdf,
Q0044,IPAの「DX白書2023」における詳細分析において、日本のグループ3（デジタルトランスフォーメーション段階）企業の割合は何パーセントとされていますか？,answerable,simple,日本のグループ3企業の割合は4.6%です。,グループ3企業の割合では日本 4.6%、米国 25.4%、グループ 1 以上でも日本 31.7%、米国 63.2%と DX の段階には開きがあることが分かる。,DX推進の段階毎の企業の課題と考察.pdf,3
Q0045,「2022年度調査」に基づいた分類で、グループ2（デジタライゼーション段階）に該当するDXの取組内容の項目をすべて挙げてください。,answerable,simple,「2. 業務の効率化による生産性の向上」と「3. 既存製品・サービスの高付加価値化」の2項目です。,「2. 業務の効率化による生産性の向上」「3. 既存製品・サービスの高付加価値化」の 2 項目がデジタライゼーション、,DX推進の段階毎の企業の課題と考察.pdf,3
Q0046,IPAの調査において、日本のグループ3企業と米国企業を比較した際、IT分野に見識がある役員が5割以上いる割合にはどのような差がありますか？,answerable,reasoning,日本のグループ3企業では32.0%であるのに対し、米国のグループ3企業では45.8%となっており、日本の方が13.8ポイント低くなっています。,日本のグループ 3 企業でも 5 割以上いる割合は 30%程度と米国企業に比較して低い。図表- 36 IT に見識のある役員が 5 割以上（グループ 3 企業）（%）,DX推進の段階毎の企業の課題と考察.pdf,19
Q0047,"図表-3および図表-4を参照し、日本のグループ3企業（n=25）のうち、従業員数が1,000人以上の企業の具体的な「件数」を算出してください。",answerable,reasoning,"グループ3（日本）の件数25件に対し、1,000人以上の割合が52.0%であるため、13件となります。","図表- 3 日本 件数 25。図表- 4 グループ 3（日本）n=25 1,000 人以上 52.0。",DX推進の段階毎の企業の課題と考察.pdf,3
Q0048,「DX推進の段階毎の企業の課題と考察」において、グループ1からグループ2、あるいはグループ2からグループ3への移行を阻害する要因として挙げられている「戦略」領域の項目は何ですか？,answerable,multi_chunk,継続的・安定的な予算確保、CDO・専門部署の設置、新規製品・サービスの創出サプライチェーン、DX推進プロセス全般、システムの迅速な更新・拡張やデータ利活用、デジタルサービス事業の成果評価、新しいビジネスの取組全般が挙げられています。,図表- 31 グループ 1・2 とグループ 3 企業間の DX の取組比較 領域 戦略 ・継続的・安定的な予算確保 ・CDO、専門部署の設置 ・新規製品・サービスの創出サプライチェーン,DX推進の段階毎の企業の課題と考察.pdf,17
Q0049,IPAの分析によると、日本のグループ3企業における「CDO（最高デジタル責任者）がいる」割合と「専門部署がある」割合は、それぞれ何パーセントですか？,answerable,multi_chunk,CDOがいる割合は60.0%、専門部署がある割合は80.0%です。,図表- 9 CDO がいる（%） グループ3(n=25) 60.0。図表- 10 専門部署がある（%） グループ3(n=25) 80.0。,DX推進の段階毎の企業の課題と考察.pdf,6
Q0050,日本のグループ3企業において、DX推進プロセスの達成度のうち「古い慣習の撤廃と新しい慣習への適合」の数値が他の項目と比べて低いことについて、本文ではどのように述べられていますか？,answerable,reasoning,他の項目と比較してやや低く、既存の慣習からの脱却・刷新への対応が課題となっていることが伺えると述べられています。,日本のグループ 3 企業では古い慣習の撤廃と新しい慣習への適合を達成している割合は、他の項目と比較してやや低く、既存の慣習からの脱却・刷新への対応が課題となっている,DX推進の段階毎の企業の課題と考察.pdf,21
Q0051,加藤喜章氏による本ディスカッション・ペーパーにおいて、2022年度調査の日本企業アンケートの回収数と実施期間を教えてください。,answerable,simple,回収数は543社、実施期間は2022年6月28日から2022年7月28日です。,図表- 58 企業を中心とした DX 推進に関する調査概要（2022 年度調査） 日本企業アンケート 回収数 543 社 実施期間 2022 年 6 月 28 日～2022 年 7 月 28 日,DX推進の段階毎の企業の課題と考察.pdf,32
Q0052,IPAの調査結果に基づき、2024年以降に日本のグループ3企業が優先的に導入すべき具体的なサイバーセキュリティ製品の名称と価格リストを教えてください。,unanswerable,N/A,,,DX推進の段階毎の企業の課題と考察.pdf,
Q0053,本稿で分析されている「2022年度調査」において、回答企業が支払った調査協力謝礼金の具体的な金額はいくらですか？,unanswerable,N/A,,,DX推進の段階毎の企業の課題と考察.pdf,
Q0054,AI事業者ガイドライン別添において、RAG（Retrieval-Augmented Generation）はどのように定義されていますか？,answerable,simple,RAGは、「事前学習されたパラメトリックメモリと非パラメトリックメモリ（すなわち検索ベースのメモリ）を組み合わせた言語生成モデル」と定義されています。,RAG は、「事前学習されたパラメトリックメモリと非パラメトリックメモリ（すなわち検索ベースのメモリ）を組み合わせた言語生成モデル」と定義されている。,「AI事業者ガイドライン（第1.1版）別添」.pdf,6
Q0055,AI事業者ガイドライン別添の「表2. AIシステム・サービス例」によると、無人コンビニのケースにおいてAI開発者、AI提供者、AI利用者はそれぞれどの主体ですか？,answerable,reasoning,AI開発者はX社、AI提供者はJ社（AIシステム開発部及びコンビニ事業部）、AI利用者はコンビニ店舗です。,無人コンビニ | 画像解析 | AI開発者：X社 | AI提供者：J社（AIシステム開発部及びコンビニ事業部） | AI利用者：コンビニ店舗,「AI事業者ガイドライン（第1.1版）別添」.pdf,8
Q0056,AI事業者ガイドライン別添の「行動目標一覧」において、分類「4.運用」に含まれる3つの具体的な行動目標をすべて挙げてください。,answerable,simple,4-1 AIマネジメントシステム運用状況の説明可能な状態の確保、4-2 個々のAIシステム運用状況の説明可能な状態の確保、4-3 AIガバナンスの実践状況の積極的な開示の検討、の3つです。,"4-1 AI マネジメントシステム運用状況の説明可能な状態の確保
4-2 個々の AI システム運用状況の説明可能な状態の確保
4-3 AI ガバナンスの実践状況の積極的な開示の検討",「AI事業者ガイドライン（第1.1版）別添」.pdf,24
Q0057,AI事業者ガイドライン別添の「AIによるリスク例の体系的な分類案」において、社会的リスクの中分類「倫理・法に関するリスク」に該当する具体的なリスク例をすべて答えてください。,answerable,reasoning,個人情報の不適切な取扱い、生命等に関わる事故の発生、トリアージにおける差別、過度な依存、悪用の5つです。,倫理・法に関するリスク | 個人情報の不適切な取扱い、生命等に関わる事故の発生、トリアージにおける差別、過度な依存、悪用,「AI事業者ガイドライン（第1.1版）別添」.pdf,19
Q0058,AI事業者ガイドライン別添の「別添 3.AI 開発者向け」において、AI開発者が「適切なデータの学習（D-2）i.）」を実践する際の具体的な手法として挙げられている「差分プライバシー」とは何ですか？,answerable,simple,AI開発者が実際のデータを知ることがないように、データにノイズを加えることです。,"差分プライバシー
AI 開発者が実際のデータを知ることがないように、データにノイズを加えること",「AI事業者ガイドライン（第1.1版）別添」.pdf,85
Q0059,AI事業者ガイドライン別添に記載されている「神戸市におけるAI活用のためのルール整備」の事例において、リスクアセスメントの項目として定められている10項目をすべて挙げてください。,answerable,reasoning,①人間中心、②影響範囲の特定、③プライバシーの保護、④安全性の確保、⑤透明性の確保、⑥公平性の確保（バイアスへの対策）、⑦セキュリティの確保、⑧アカウンタビリティの確保、⑨職員への教育、⑩判断の責任、の10項目です。,リスクアセスメントの項目として、①人間中心、②影響範囲の特定、③プライバシーの保護、④安全性の確保、⑤透明性の確保、⑥公平性の確保（バイアスへの対策）、⑦セキュリティの確保、⑧アカウンタビリティの確保、⑨職員への教育、⑩判断の責任を定めている。,「AI事業者ガイドライン（第1.1版）別添」.pdf,82
Q0060,AI事業者ガイドライン別添において、AI提供者（P）とAI利用者（U）の両方の主体に対して共通して求められている「透明性」に関する重要事項は何ですか？表1に基づいて答えてください。,answerable,multi_chunk,「関連するステークホルダーへの情報提供」です。AI提供者（P）の重要事項ii.およびAI利用者（U）の重要事項i.として共通して記載されています。,"第4部. AI提供者（P） 6)透明性 ii.関連するステークホルダーへの情報提供
第5部. AI利用者（U） 6)透明性 i.関連するステークホルダーへの情報提供",「AI事業者ガイドライン（第1.1版）別添」.pdf,4
Q0061,AI事業者ガイドライン別添の「契約モデルの多様化」に関する記述において、経済産業省が2025年2月に策定した、AIの利活用に関する契約検討用の資料の名称は何ですか？,answerable,simple,「AIの利用・開発に関する契約チェックリスト」です。,経済産業省は、2025 年 2 月、我が国の事業者が AI の利活用に関する契約を検討する場面を念頭に、契約において留意するべき事項を取りまとめたチェックリスト（以下、「契約チェックリスト」という。）を策定した,「AI事業者ガイドライン（第1.1版）別添」.pdf,170
Q0062,AI事業者ガイドライン別添において、ソフトバンクが策定した「ソフトバンク AI 倫理ポリシー」をグループ会社に適用した際、2025年末時点での適用社数は何社になると予測されていますか？,unanswerable,N/A,,,「AI事業者ガイドライン（第1.1版）別添」.pdf,
Q0063,AI事業者ガイドライン別添に記載されている「コラム 10：NTT DATA の AI ガバナンスに関する取組」において、AIプロジェクトのリスク評価で「高リスク」と判定された場合、どのような支援が行われますか？,answerable,reasoning,AIガバナンス室がリスク対応を支援します。また、判断の難しい未知のリスクが検知された場合には、社外有識者からなるAIアドバイザリーボードのメンバーに評価や対応策のアドバイスを求めます。,STEP2 では、“禁止レベル”、“高リスク”と判定された AI プロジェクトに対し、AI ガバナンス室がリスク対応を支援する。判断の難しい、未知の AI リスクが検知された際には、社外有識者からなる AI アドバイザリーボードのメンバーに、AI リスクの評価及び対応策についてアドバイスを求めている。,「AI事業者ガイドライン（第1.1版）別添」.pdf,79
Q0064,AI事業者ガイドライン（第1.1版）別添において、RAG（検索拡張生成）はどのように定義されていますか？,answerable,simple,RAGは、「事前学習されたパラメトリックメモリと非パラメトリックメモリ（すなわち検索ベースのメモリ）を組み合わせた言語生成モデル」と定義されています。,RAG は、「事前学習されたパラメトリックメモリと非パラメトリックメモリ（すなわち検索ベースのメモリ）を組み合わせた言語生成モデル」と定義されている。,「AI事業者ガイドライン（第1.1版）別添（概要）」.pdf,6
Q0065,AI事業者ガイドライン別添の「表2. AIシステム・サービス例」によると、A工業が導入した「不良品検知AI」において、AI開発者の役割を担っているのはどの主体ですか？,answerable,simple,B社（製造ソリューション）です。,不良品検知 AI ... AI 開発者 B 社（製造ソリューション）,「AI事業者ガイドライン（第1.1版）別添（概要）」.pdf,8
Q0066,AI事業者ガイドライン別添の「行動目標一覧」において、分類「3.システムデザイン」に含まれる4つの行動目標をすべて挙げてください。,answerable,reasoning,3-1 ゴール及び乖離の評価及び乖離対応の必須化、3-2 AI マネジメントの人材のリテラシー向上、3-3 各主体間・部門間の協力による AI マネジメント強化、3-4 予防・早期対応による利用者のインシデント関連の負担軽減の4つです。,3-1 ゴール及び乖離の評価及び乖離対応の必須化 3-2 AI マネジメントの人材のリテラシー向上 3-3 各主体間・部門間の協力による AI マネジメント強化 3-4 予防・早期対応による利用者のインシデント関連の負担軽減,「AI事業者ガイドライン（第1.1版）別添（概要）」.pdf,24
Q0067,AI事業者ガイドライン別添の「表4」に基づき、AI開発者（D）が「ハルシネーション等による誤った出力」というリスク例に対して「安全性」の指針で取り組むべき事項を3つ答えてください。,answerable,reasoning,i. 適切なデータの学習、ii.人間の生命・身体・財産、精神及び環境に配慮した開発、iii.適正利用に資する開発の3点です。,ハルシネーション等による誤った出力 2）安全性 i. 適切なデータの学習 ii.人間の生命・身体・財産、精神及び環境に配慮した開発 iii.適正利用に資する開発,「AI事業者ガイドライン（第1.1版）別添（概要）」.pdf,20
Q0068,AI事業者ガイドライン別添において、神戸市が「神戸市における AI の活用等に関する条例」を策定する際に参考とした具体的な外部資料は何ですか？,answerable,simple,AI 事業者ガイドライン及び EU の「AI 法（Artificial Intelligence Act）」です。,AI 条例を策定する際には、AI 事業者ガイドライン及び EU の「AI 法（Artificial Intelligence Act）」をもとに、同市が AI 利用者として果たすべき責務を盛り込んだ。,「AI事業者ガイドライン（第1.1版）別添（概要）」.pdf,82
